"customer_id","monetaryvalue","frequency","recency"
"12346","77556","12","325"
"12347","5633","8","1"
"12348","2019","5","74"
"12349","4429","4","18"
"12350","334","1","309"
"12351","301","1","374"
"12352","2850","10","35"
"12353","407","2","203"
"12354","1079","1","231"
"12355","948","2","213"
"12356","6374","6","22"
"12357","18288","3","32"
"12358","3887","5","1"
"12359","8936","10","57"
"12360","4253","8","51"
"12361","511","4","286"
"12362","5356","11","2"
"12363","552","2","109"
"12364","1313","4","7"
"12365","641","2","290"
"12366","500","1","633"
"12367","169","1","3"
"12368","918","1","627"
"12369","1791","3","412"
"12370","4320","7","50"
"12371","4067","5","44"
"12372","1298","3","71"
"12373","1128","3","310"
"12374","2989","4","24"
"12375","458","2","10"
"12376","503","2","389"
"12377","3426","4","314"
"12378","5416","2","129"
"12379","1620","4","81"
"12380","9676","11","21"
"12381","1845","5","4"
"12383","1851","5","184"
"12384","585","2","28"
"12385","1938","1","378"
"12386","661","2","337"
"12387","144","1","414"
"12388","3901","8","15"
"12389","1433","3","402"
"12390","550","1","79"
"12391","2773","6","21"
"12392","235","1","590"
"12393","2399","6","71"
"12394","1272","2","63"
"12395","5067","15","18"
"12396","931","1","673"
"12397","2410","2","35"
"12398","1636","1","45"
"12399","1962","7","118"
"12400","205","1","413"
"12401","84","1","302"
"12402","1257","6","322"
"12403","1019","2","49"
"12404","63","1","681"
"12405","1710","1","148"
"12406","6390","5","21"
"12407","1708","5","49"
"12408","4341","8","32"
"12409","23419","7","78"
"12410","1014","3","308"
"12411","347","1","409"
"12412","2597","6","74"
"12413","999","4","66"
"12414","952","6","216"
"12415","144458","28","23"
"12416","203","1","656"
"12417","6817","20","2"
"12418","2021","4","112"
"12419","503","2","385"
"12420","600","1","63"
"12421","1099","6","15"
"12422","5232","17","95"
"12423","2622","10","0"
"12424","3340","4","162"
"12425","1741","2","77"
"12426","1345","2","194"
"12427","1129","3","21"
"12428","7956","9","25"
"12429","7486","8","8"
"12430","256","1","42"
"12431","10858","27","35"
"12432","5059","5","42"
"12433","20581","10","0"
"12434","1103","3","84"
"12435","13926","6","79"
"12436","509","1","99"
"12437","12683","39","1"
"12438","2907","2","13"
"12439","1158","2","682"
"12440","859","2","461"
"12441","347","1","366"
"12442","172","1","2"
"12443","485","1","731"
"12444","5005","5","20"
"12445","435","2","21"
"12446","1002","1","57"
"12447","476","1","242"
"12448","449","1","43"
"12449","4836","6","21"
"12450","688","5","155"
"12451","12670","8","10"
"12452","431","2","16"
"12453","707","1","133"
"12454","16680","5","55"
"12455","5880","10","72"
"12456","3181","3","43"
"12457","2996","8","65"
"12458","1777","4","70"
"12459","454","1","604"
"12460","327","1","455"
"12461","827","2","93"
"12462","1190","2","18"
"12463","1345","4","52"
"12464","1212","8","9"
"12465","742","2","16"
"12466","57","1","681"
"12467","133","1","422"
"12468","3671","5","187"
"12469","3071","2","522"
"12470","212","1","689"
"12471","39964","79","1"
"12472","17881","19","31"
"12473","3939","5","28"
"12474","12424","31","16"
"12475","1150","2","53"
"12476","14115","23","15"
"12477","20276","9","22"
"12478","681","1","3"
"12479","527","1","10"
"12480","5465","7","27"
"12481","12361","15","22"
"12482","23691","29","575"
"12483","5121","19","16"
"12484","6370","12","32"
"12485","708","1","528"
"12486","1037","1","431"
"12487","285","1","730"
"12488","1299","3","9"
"12489","335","1","335"
"12490","9824","21","4"
"12491","460","1","38"
"12492","715","3","62"
"12493","434","2","165"
"12494","1873","9","15"
"12495","357","1","640"
